BIN,Complaint,Feedback,ChargebackFlag,Complaint_Encoded
468407,Service Quality,Service was excellent and very professional.,0,5
607508,Service Quality,The service was too slow and unprofessional!,0,5
639592,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
537255,Service Quality,The service was too slow and unprofessional!,0,5
302666,No Issue,Customer support was helpful in resolving my concern.,0,4
539135,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
222983,Late Refund,Still waiting for my refund after 2 weeks!,0,3
412797,Customer Support Issue,Support team was responsive and helpful.,0,1
354300,Service Quality,I'm disappointed with the overall experience!,0,5
529200,No Issue,Customer support was helpful in resolving my concern.,0,4
341090,Billing Issue,"Billing discrepancy, support is not helping!",0,0
627487,Customer Support Issue,Customer service was rude and unhelpful!,0,1
568247,No Issue,"Happy with the service, would recommend.",0,4
413164,No Issue,"Great experience, very satisfied!",0,4
373475,Late Refund,"Refund process is very slow, not happy!",0,3
474761,Service Quality,Quality of service was not up to the mark!,0,5
589374,Service Quality,Service was excellent and very professional.,0,5
386401,Service Quality,"Very satisfied with the service, will recommend!",0,5
538984,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
220453,Late Refund,Finally got my refund after multiple calls.,0,3
345772,Billing Issue,"Incorrect amount charged, need a refund!",0,0
485376,Billing Issue,"Incorrect amount charged, need a refund!",0,0
593551,Service Quality,Service was excellent and very professional.,0,5
504901,Billing Issue,"Incorrect amount charged, need a refund!",0,0
540582,Billing Issue,"Incorrect amount charged, need a refund!",0,0
726073,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
388284,No Issue,"Everything went smoothly, highly recommended.",0,4
410009,Late Refund,Still waiting for my refund after 2 weeks!,0,3
392219,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
573408,Billing Issue,"Billing discrepancy, support is not helping!",0,0
454797,Service Quality,Service was excellent and very professional.,0,5
567580,No Issue,Customer support was helpful in resolving my concern.,0,4
531127,Late Refund,"Refund process is very slow, not happy!",0,3
814223,Late Refund,Finally got my refund after multiple calls.,0,3
419139,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
475418,Customer Support Issue,Support team was responsive and helpful.,0,1
428406,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
353488,Late Refund,Finally got my refund after multiple calls.,0,3
511206,Customer Support Issue,Customer service was rude and unhelpful!,0,1
481302,Service Quality,The service was too slow and unprofessional!,0,5
417819,Customer Support Issue,Support team was responsive and helpful.,0,1
590370,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
503978,Billing Issue,"Incorrect amount charged, need a refund!",0,0
473313,Customer Support Issue,Support team was responsive and helpful.,0,1
414194,No Issue,"No issues, smooth transactions every time.",0,4
353924,No Issue,"Great experience, very satisfied!",0,4
548507,Customer Support Issue,Support team was responsive and helpful.,0,1
640775,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
390390,No Issue,"Happy with the service, would recommend.",0,4
478776,Customer Support Issue,Support team was responsive and helpful.,0,1
537342,No Issue,"No issues, smooth transactions every time.",0,4
513770,No Issue,"Happy with the service, would recommend.",0,4
655214,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
425231,Service Quality,The service was too slow and unprofessional!,0,5
591602,Late Refund,"Refund process is very slow, not happy!",0,3
656678,Late Refund,"Refund process is very slow, not happy!",0,3
118506,No Issue,"Everything went smoothly, highly recommended.",0,4
499417,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
519063,Service Quality,Service was excellent and very professional.,0,5
385675,Service Quality,Service was excellent and very professional.,0,5
578280,Service Quality,The service was too slow and unprofessional!,0,5
819771,Service Quality,The service was too slow and unprofessional!,0,5
445064,No Issue,Customer support was helpful in resolving my concern.,0,4
418566,Service Quality,"Very satisfied with the service, will recommend!",0,5
103117,No Issue,"Happy with the service, would recommend.",0,4
451703,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
581378,Billing Issue,"Incorrect amount charged, need a refund!",0,0
387523,Billing Issue,"Billing discrepancy, support is not helping!",0,0
677503,No Issue,"Happy with the service, would recommend.",0,4
656419,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
671871,Customer Support Issue,Support team was responsive and helpful.,0,1
810222,Late Refund,Finally got my refund after multiple calls.,0,3
870007,Billing Issue,"Billing discrepancy, support is not helping!",0,0
505297,Billing Issue,"Incorrect amount charged, need a refund!",0,0
423761,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
628511,Customer Support Issue,Customer service was rude and unhelpful!,0,1
646662,Customer Support Issue,Customer service was rude and unhelpful!,0,1
345265,Customer Support Issue,Customer service was rude and unhelpful!,0,1
411977,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
441297,Late Refund,"Refund process is very slow, not happy!",0,3
389931,Late Refund,"Refund process is very slow, not happy!",0,3
220354,Billing Issue,"Incorrect amount charged, need a refund!",0,0
641578,Late Refund,"Refund process is very slow, not happy!",0,3
396065,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
403909,No Issue,"Great experience, very satisfied!",0,4
508951,Service Quality,The service was too slow and unprofessional!,0,5
817313,Service Quality,Service was excellent and very professional.,0,5
676519,Service Quality,"Very satisfied with the service, will recommend!",0,5
526462,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
103770,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
503450,Late Refund,Still waiting for my refund after 2 weeks!,0,3
654333,Billing Issue,"Incorrect amount charged, need a refund!",0,0
377920,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
435969,No Issue,Customer support was helpful in resolving my concern.,0,4
529059,Billing Issue,"Incorrect amount charged, need a refund!",0,0
369272,Customer Support Issue,Support team was responsive and helpful.,0,1
382490,Billing Issue,"Incorrect amount charged, need a refund!",0,0
622792,No Issue,"Great experience, very satisfied!",0,4
379404,Service Quality,Service was excellent and very professional.,0,5
505344,Service Quality,Quality of service was not up to the mark!,0,5
492688,No Issue,"Everything went smoothly, highly recommended.",0,4
388706,Customer Support Issue,Support team was responsive and helpful.,0,1
559554,Late Refund,Still waiting for my refund after 2 weeks!,0,3
446953,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
347481,Late Refund,Still waiting for my refund after 2 weeks!,0,3
501732,Late Refund,Finally got my refund after multiple calls.,0,3
576409,No Issue,"Everything went smoothly, highly recommended.",0,4
410273,Service Quality,Quality of service was not up to the mark!,0,5
526126,Billing Issue,"Incorrect amount charged, need a refund!",0,0
431771,No Issue,Customer support was helpful in resolving my concern.,0,4
304143,Service Quality,Quality of service was not up to the mark!,0,5
814622,Customer Support Issue,Customer service was rude and unhelpful!,0,1
447307,Billing Issue,"Incorrect amount charged, need a refund!",0,0
404533,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
695430,Customer Support Issue,Customer service was rude and unhelpful!,0,1
436316,Late Refund,Finally got my refund after multiple calls.,0,3
417394,Late Refund,Finally got my refund after multiple calls.,0,3
583870,Service Quality,"Very satisfied with the service, will recommend!",0,5
399103,Customer Support Issue,Support team was responsive and helpful.,0,1
421501,Customer Support Issue,Support team was responsive and helpful.,0,1
478820,Service Quality,"Very satisfied with the service, will recommend!",0,5
409166,No Issue,"Great experience, very satisfied!",0,4
607007,No Issue,Customer support was helpful in resolving my concern.,0,4
429754,Billing Issue,"Billing discrepancy, support is not helping!",0,0
680555,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
651742,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
391080,Late Refund,"Refund process is very slow, not happy!",0,3
318641,Service Quality,I'm disappointed with the overall experience!,0,5
470843,Customer Support Issue,Support team was responsive and helpful.,0,1
366200,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
383839,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
508509,Service Quality,I'm disappointed with the overall experience!,0,5
313773,Billing Issue,"Incorrect amount charged, need a refund!",0,0
580530,Customer Support Issue,Customer service was rude and unhelpful!,0,1
470601,Late Refund,Finally got my refund after multiple calls.,0,3
140326,Late Refund,"Refund process is very slow, not happy!",0,3
770068,Late Refund,"Refund process is very slow, not happy!",0,3
433953,No Issue,"Great experience, very satisfied!",0,4
639350,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
341801,No Issue,"No issues, smooth transactions every time.",0,4
462110,Customer Support Issue,Support team was responsive and helpful.,0,1
710170,No Issue,"Happy with the service, would recommend.",0,4
648849,No Issue,"Everything went smoothly, highly recommended.",0,4
349037,Billing Issue,"Incorrect amount charged, need a refund!",0,0
496793,Billing Issue,"Billing discrepancy, support is not helping!",0,0
425187,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
355335,Customer Support Issue,Customer service was rude and unhelpful!,0,1
524960,Late Refund,"Refund process is very slow, not happy!",0,3
491355,Service Quality,Quality of service was not up to the mark!,0,5
680387,No Issue,"No issues, smooth transactions every time.",0,4
304991,No Issue,"Great experience, very satisfied!",0,4
398259,Billing Issue,"Incorrect amount charged, need a refund!",0,0
301516,Billing Issue,"Billing discrepancy, support is not helping!",0,0
810649,Customer Support Issue,Customer service was rude and unhelpful!,0,1
437079,No Issue,Customer support was helpful in resolving my concern.,0,4
220448,Late Refund,Still waiting for my refund after 2 weeks!,0,3
434112,No Issue,"Everything went smoothly, highly recommended.",0,4
608277,Service Quality,"Very satisfied with the service, will recommend!",0,5
642494,Service Quality,I'm disappointed with the overall experience!,0,5
409590,Billing Issue,"Incorrect amount charged, need a refund!",0,0
556067,Service Quality,I'm disappointed with the overall experience!,0,5
672887,Service Quality,Service was excellent and very professional.,0,5
490598,No Issue,Customer support was helpful in resolving my concern.,0,4
521257,No Issue,"Great experience, very satisfied!",0,4
240005,Late Refund,"Refund process is very slow, not happy!",0,3
670361,No Issue,"Great experience, very satisfied!",0,4
305822,Late Refund,"Refund process is very slow, not happy!",0,3
816173,Service Quality,I'm disappointed with the overall experience!,0,5
710283,Customer Support Issue,Customer service was rude and unhelpful!,0,1
395868,Service Quality,Quality of service was not up to the mark!,0,5
300069,Customer Support Issue,Customer service was rude and unhelpful!,0,1
458934,Customer Support Issue,Support team was responsive and helpful.,0,1
489151,Customer Support Issue,Customer service was rude and unhelpful!,0,1
383707,Service Quality,Quality of service was not up to the mark!,0,5
573850,Billing Issue,"Incorrect amount charged, need a refund!",0,0
812547,Customer Support Issue,Customer service was rude and unhelpful!,0,1
621911,Service Quality,Quality of service was not up to the mark!,0,5
438467,Late Refund,Still waiting for my refund after 2 weeks!,0,3
523462,Service Quality,Service was excellent and very professional.,0,5
590418,Service Quality,Service was excellent and very professional.,0,5
497933,Billing Issue,"Billing discrepancy, support is not helping!",0,0
628872,Billing Issue,"Billing discrepancy, support is not helping!",0,0
455592,Billing Issue,"Billing discrepancy, support is not helping!",0,0
352920,No Issue,"Everything went smoothly, highly recommended.",0,4
378454,No Issue,"No issues, smooth transactions every time.",0,4
497382,No Issue,"No issues, smooth transactions every time.",0,4
551739,Late Refund,"Refund process is very slow, not happy!",0,3
334975,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
448690,Service Quality,"Very satisfied with the service, will recommend!",0,5
678654,No Issue,Customer support was helpful in resolving my concern.,0,4
414451,Late Refund,"Refund process is very slow, not happy!",0,3
653441,Late Refund,"Refund process is very slow, not happy!",0,3
363781,Billing Issue,"Billing discrepancy, support is not helping!",0,0
655411,No Issue,"Happy with the service, would recommend.",0,4
566177,No Issue,"No issues, smooth transactions every time.",0,4
485873,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
363827,Late Refund,Still waiting for my refund after 2 weeks!,0,3
544342,Late Refund,"Refund process is very slow, not happy!",0,3
358134,Service Quality,The service was too slow and unprofessional!,0,5
412593,Service Quality,Service was excellent and very professional.,0,5
591460,No Issue,"Great experience, very satisfied!",0,4
380471,No Issue,"Happy with the service, would recommend.",0,4
422021,Billing Issue,"Incorrect amount charged, need a refund!",0,0
451847,Late Refund,Still waiting for my refund after 2 weeks!,0,3
509967,No Issue,"Great experience, very satisfied!",0,4
636561,Billing Issue,"Billing discrepancy, support is not helping!",0,0
356043,Service Quality,Service was excellent and very professional.,0,5
700594,Service Quality,"Very satisfied with the service, will recommend!",0,5
671868,No Issue,"Everything went smoothly, highly recommended.",0,4
503078,No Issue,"Everything went smoothly, highly recommended.",0,4
309435,No Issue,"Everything went smoothly, highly recommended.",0,4
449745,Late Refund,Finally got my refund after multiple calls.,0,3
538905,No Issue,"Great experience, very satisfied!",0,4
344226,No Issue,"Happy with the service, would recommend.",0,4
447486,Late Refund,Finally got my refund after multiple calls.,0,3
399933,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
424165,Late Refund,Still waiting for my refund after 2 weeks!,0,3
424364,Late Refund,"Refund process is very slow, not happy!",0,3
463514,Late Refund,Finally got my refund after multiple calls.,0,3
654083,Late Refund,Still waiting for my refund after 2 weeks!,0,3
418835,Customer Support Issue,Support team was responsive and helpful.,0,1
132167,Service Quality,"Very satisfied with the service, will recommend!",0,5
532578,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
492675,No Issue,"Everything went smoothly, highly recommended.",0,4
621095,Customer Support Issue,Support team was responsive and helpful.,0,1
389359,Customer Support Issue,Customer service was rude and unhelpful!,0,1
670319,Late Refund,Still waiting for my refund after 2 weeks!,0,3
485006,No Issue,"Great experience, very satisfied!",0,4
392068,No Issue,"Everything went smoothly, highly recommended.",0,4
818565,Customer Support Issue,Support team was responsive and helpful.,0,1
641657,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
334155,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
989672,Service Quality,Quality of service was not up to the mark!,0,5
811432,Service Quality,Quality of service was not up to the mark!,0,5
465910,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
641303,No Issue,"Everything went smoothly, highly recommended.",0,4
607507,Late Refund,"Refund process is very slow, not happy!",0,3
466143,Service Quality,Service was excellent and very professional.,0,5
816502,Late Refund,Still waiting for my refund after 2 weeks!,0,3
421869,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
469614,Billing Issue,"Incorrect amount charged, need a refund!",0,0
680661,Customer Support Issue,Support team was responsive and helpful.,0,1
421176,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
111254,Late Refund,"Refund process is very slow, not happy!",0,3
525814,Service Quality,The service was too slow and unprofessional!,0,5
514146,Billing Issue,"Billing discrepancy, support is not helping!",0,0
814831,Billing Issue,"Incorrect amount charged, need a refund!",0,0
342535,Billing Issue,"Incorrect amount charged, need a refund!",0,0
413468,No Issue,Customer support was helpful in resolving my concern.,0,4
587674,Customer Support Issue,Support team was responsive and helpful.,0,1
520260,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
450455,Billing Issue,"Incorrect amount charged, need a refund!",0,0
498924,Late Refund,"Refund process is very slow, not happy!",0,3
389880,Late Refund,Still waiting for my refund after 2 weeks!,0,3
420608,Billing Issue,"Billing discrepancy, support is not helping!",0,0
129068,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
590912,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
625642,Service Quality,Quality of service was not up to the mark!,0,5
444313,No Issue,Customer support was helpful in resolving my concern.,0,4
480398,Service Quality,I'm disappointed with the overall experience!,0,5
460537,Billing Issue,"Incorrect amount charged, need a refund!",0,0
384814,Service Quality,Service was excellent and very professional.,0,5
497339,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
640910,No Issue,"No issues, smooth transactions every time.",0,4
303913,Service Quality,Service was excellent and very professional.,0,5
347524,No Issue,"Great experience, very satisfied!",0,4
309549,No Issue,"Everything went smoothly, highly recommended.",0,4
381141,Late Refund,Finally got my refund after multiple calls.,0,3
651349,Service Quality,The service was too slow and unprofessional!,0,5
603398,Billing Issue,"Incorrect amount charged, need a refund!",0,0
513979,No Issue,"Happy with the service, would recommend.",0,4
813366,Late Refund,"Refund process is very slow, not happy!",0,3
573403,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
303469,No Issue,"Everything went smoothly, highly recommended.",0,4
384993,No Issue,"No issues, smooth transactions every time.",0,4
710212,Billing Issue,"Incorrect amount charged, need a refund!",0,0
539524,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
672347,No Issue,"Happy with the service, would recommend.",0,4
653227,Billing Issue,"Incorrect amount charged, need a refund!",0,0
657972,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
304804,Customer Support Issue,Support team was responsive and helpful.,0,1
368424,Customer Support Issue,Support team was responsive and helpful.,0,1
551824,Billing Issue,"Billing discrepancy, support is not helping!",0,0
434686,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
647278,Service Quality,The service was too slow and unprofessional!,0,5
676775,Service Quality,The service was too slow and unprofessional!,0,5
509623,No Issue,"No issues, smooth transactions every time.",0,4
621229,No Issue,"Everything went smoothly, highly recommended.",0,4
369081,Billing Issue,"Incorrect amount charged, need a refund!",0,0
650953,No Issue,"Everything went smoothly, highly recommended.",0,4
538553,Customer Support Issue,Support team was responsive and helpful.,0,1
300295,No Issue,"Great experience, very satisfied!",0,4
544224,Service Quality,"Very satisfied with the service, will recommend!",0,5
393095,Billing Issue,"Billing discrepancy, support is not helping!",0,0
479860,No Issue,"Great experience, very satisfied!",0,4
397341,Billing Issue,"Incorrect amount charged, need a refund!",0,0
493379,Service Quality,"Very satisfied with the service, will recommend!",0,5
413708,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
507057,Customer Support Issue,Customer service was rude and unhelpful!,0,1
423569,Customer Support Issue,Support team was responsive and helpful.,0,1
378072,Service Quality,I'm disappointed with the overall experience!,0,5
529034,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
514663,Service Quality,I'm disappointed with the overall experience!,0,5
644797,Customer Support Issue,Customer service was rude and unhelpful!,0,1
645036,Service Quality,The service was too slow and unprofessional!,0,5
574831,Customer Support Issue,Customer service was rude and unhelpful!,0,1
471976,Late Refund,Still waiting for my refund after 2 weeks!,0,3
911150,Late Refund,Still waiting for my refund after 2 weeks!,0,3
475890,Billing Issue,"Billing discrepancy, support is not helping!",0,0
453301,Billing Issue,"Billing discrepancy, support is not helping!",0,0
567616,Late Refund,Still waiting for my refund after 2 weeks!,0,3
540580,Customer Support Issue,Customer service was rude and unhelpful!,0,1
471519,Service Quality,I'm disappointed with the overall experience!,0,5
545326,Customer Support Issue,Support team was responsive and helpful.,0,1
457732,Service Quality,I'm disappointed with the overall experience!,0,5
584637,Late Refund,"Refund process is very slow, not happy!",0,3
588910,Service Quality,"Very satisfied with the service, will recommend!",0,5
473275,Customer Support Issue,Support team was responsive and helpful.,0,1
387642,Late Refund,Still waiting for my refund after 2 weeks!,0,3
397372,Late Refund,"Refund process is very slow, not happy!",0,3
410750,Service Quality,The service was too slow and unprofessional!,0,5
535510,No Issue,Customer support was helpful in resolving my concern.,0,4
626732,No Issue,"No issues, smooth transactions every time.",0,4
654805,Customer Support Issue,Support team was responsive and helpful.,0,1
448815,Service Quality,The service was too slow and unprofessional!,0,5
819360,Late Refund,Finally got my refund after multiple calls.,0,3
303460,No Issue,"No issues, smooth transactions every time.",0,4
361043,Billing Issue,"Incorrect amount charged, need a refund!",0,0
117543,Service Quality,Quality of service was not up to the mark!,0,5
393521,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
498402,Service Quality,I'm disappointed with the overall experience!,0,5
358760,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
311606,No Issue,"No issues, smooth transactions every time.",0,4
375242,Late Refund,"Refund process is very slow, not happy!",0,3
354815,Billing Issue,"Incorrect amount charged, need a refund!",0,0
489187,No Issue,"Great experience, very satisfied!",0,4
413543,Late Refund,"Refund process is very slow, not happy!",0,3
463211,No Issue,"No issues, smooth transactions every time.",0,4
507117,Billing Issue,"Billing discrepancy, support is not helping!",0,0
487150,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
368777,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
415221,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
507344,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
816884,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
550884,Service Quality,"Very satisfied with the service, will recommend!",0,5
599764,Service Quality,"Very satisfied with the service, will recommend!",0,5
512333,No Issue,"No issues, smooth transactions every time.",0,4
653732,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
192054,Service Quality,I'm disappointed with the overall experience!,0,5
645425,Late Refund,"Refund process is very slow, not happy!",0,3
390323,Late Refund,Still waiting for my refund after 2 weeks!,0,3
640484,Late Refund,Finally got my refund after multiple calls.,0,3
381305,Customer Support Issue,Customer service was rude and unhelpful!,0,1
528149,Late Refund,Finally got my refund after multiple calls.,0,3
423221,Service Quality,The service was too slow and unprofessional!,0,5
489657,Customer Support Issue,Customer service was rude and unhelpful!,0,1
595443,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
551067,No Issue,"Happy with the service, would recommend.",0,4
398645,Billing Issue,"Incorrect amount charged, need a refund!",0,0
305511,Billing Issue,"Incorrect amount charged, need a refund!",0,0
560804,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
100148,Customer Support Issue,Support team was responsive and helpful.,0,1
382464,No Issue,"No issues, smooth transactions every time.",0,4
103775,Service Quality,The service was too slow and unprofessional!,0,5
407974,Late Refund,"Refund process is very slow, not happy!",0,3
498017,No Issue,"No issues, smooth transactions every time.",0,4
391214,Customer Support Issue,Support team was responsive and helpful.,0,1
400120,Customer Support Issue,Customer service was rude and unhelpful!,0,1
590613,No Issue,"Everything went smoothly, highly recommended.",0,4
475174,Service Quality,"Very satisfied with the service, will recommend!",0,5
506076,Late Refund,Still waiting for my refund after 2 weeks!,0,3
512082,No Issue,"Great experience, very satisfied!",0,4
379306,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
640819,Customer Support Issue,Customer service was rude and unhelpful!,0,1
345135,Late Refund,Still waiting for my refund after 2 weeks!,0,3
305900,Billing Issue,"Incorrect amount charged, need a refund!",0,0
649960,Customer Support Issue,Customer service was rude and unhelpful!,0,1
815240,Billing Issue,"Incorrect amount charged, need a refund!",0,0
607396,Customer Support Issue,Customer service was rude and unhelpful!,0,1
378453,Customer Support Issue,Support team was responsive and helpful.,0,1
539317,Late Refund,Finally got my refund after multiple calls.,0,3
470188,Billing Issue,"Incorrect amount charged, need a refund!",0,0
584636,Customer Support Issue,Support team was responsive and helpful.,0,1
649468,No Issue,Customer support was helpful in resolving my concern.,0,4
434631,Customer Support Issue,Support team was responsive and helpful.,0,1
465046,Billing Issue,"Incorrect amount charged, need a refund!",0,0
456987,Customer Support Issue,Customer service was rude and unhelpful!,0,1
127234,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
498379,Customer Support Issue,Support team was responsive and helpful.,0,1
602876,Late Refund,Still waiting for my refund after 2 weeks!,0,3
393609,Billing Issue,"Billing discrepancy, support is not helping!",0,0
888251,Late Refund,"Refund process is very slow, not happy!",0,3
368802,Customer Support Issue,Support team was responsive and helpful.,0,1
486511,Service Quality,I'm disappointed with the overall experience!,0,5
764222,No Issue,"Everything went smoothly, highly recommended.",0,4
374252,No Issue,"Great experience, very satisfied!",0,4
537180,Late Refund,"Refund process is very slow, not happy!",0,3
351358,No Issue,Customer support was helpful in resolving my concern.,0,4
574587,Late Refund,Still waiting for my refund after 2 weeks!,0,3
368103,Customer Support Issue,Customer service was rude and unhelpful!,0,1
512880,Late Refund,"Refund process is very slow, not happy!",0,3
593851,No Issue,"Great experience, very satisfied!",0,4
642166,Service Quality,Quality of service was not up to the mark!,0,5
510771,Billing Issue,"Billing discrepancy, support is not helping!",0,0
395897,No Issue,"Great experience, very satisfied!",0,4
354507,No Issue,"No issues, smooth transactions every time.",0,4
510747,Late Refund,"Refund process is very slow, not happy!",0,3
366032,Late Refund,"Refund process is very slow, not happy!",0,3
103487,Service Quality,The service was too slow and unprofessional!,0,5
506383,Customer Support Issue,Customer service was rude and unhelpful!,0,1
456154,Service Quality,Service was excellent and very professional.,0,5
810674,Customer Support Issue,Support team was responsive and helpful.,0,1
427727,Customer Support Issue,Customer service was rude and unhelpful!,0,1
506340,Late Refund,"Refund process is very slow, not happy!",0,3
375279,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
811080,Late Refund,Finally got my refund after multiple calls.,0,3
402210,Billing Issue,"Billing discrepancy, support is not helping!",0,0
544345,Late Refund,Finally got my refund after multiple calls.,0,3
454334,No Issue,"No issues, smooth transactions every time.",0,4
347017,Late Refund,"Refund process is very slow, not happy!",0,3
819744,No Issue,"Great experience, very satisfied!",0,4
390283,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
622148,Late Refund,Still waiting for my refund after 2 weeks!,0,3
535338,Late Refund,"Refund process is very slow, not happy!",0,3
546721,Late Refund,Still waiting for my refund after 2 weeks!,0,3
652400,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
525164,Service Quality,Quality of service was not up to the mark!,0,5
405730,Billing Issue,"Incorrect amount charged, need a refund!",0,0
566218,No Issue,"Great experience, very satisfied!",0,4
427053,Service Quality,Quality of service was not up to the mark!,0,5
591959,Service Quality,Quality of service was not up to the mark!,0,5
710139,Late Refund,Finally got my refund after multiple calls.,0,3
553800,No Issue,"Happy with the service, would recommend.",0,4
551308,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
659839,Service Quality,Service was excellent and very professional.,0,5
554962,No Issue,"Happy with the service, would recommend.",0,4
740273,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
463135,Service Quality,I'm disappointed with the overall experience!,0,5
311274,Billing Issue,"Incorrect amount charged, need a refund!",0,0
510429,No Issue,Customer support was helpful in resolving my concern.,0,4
486945,Billing Issue,"Billing discrepancy, support is not helping!",0,0
425274,Late Refund,Still waiting for my refund after 2 weeks!,0,3
369053,Late Refund,Finally got my refund after multiple calls.,0,3
470787,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
406554,Late Refund,Finally got my refund after multiple calls.,0,3
577373,Late Refund,"Refund process is very slow, not happy!",0,3
378559,No Issue,"Great experience, very satisfied!",0,4
515345,Billing Issue,"Billing discrepancy, support is not helping!",0,0
620502,No Issue,"Happy with the service, would recommend.",0,4
462204,No Issue,"No issues, smooth transactions every time.",0,4
580318,No Issue,"No issues, smooth transactions every time.",0,4
357006,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
462334,No Issue,Customer support was helpful in resolving my concern.,0,4
376661,Late Refund,"Refund process is very slow, not happy!",0,3
390684,Late Refund,Finally got my refund after multiple calls.,0,3
369771,Late Refund,Finally got my refund after multiple calls.,0,3
572642,Customer Support Issue,Support team was responsive and helpful.,0,1
470774,Billing Issue,Had to call multiple times for a simple billing issue!,0,0
429490,Billing Issue,"Incorrect amount charged, need a refund!",0,0
555393,Customer Support Issue,"Long wait time for support, very frustrating!",0,1
508491,Customer Support Issue,Customer service was rude and unhelpful!,0,1
342794,Billing Issue,"Billing discrepancy, support is not helping!",0,0
437706,Service Quality,Service was excellent and very professional.,0,5
504685,No Issue,"Great experience, very satisfied!",0,4
528967,Billing Issue,"Incorrect amount charged, need a refund!",0,0
467259,Late Refund,"Refund process is very slow, not happy!",0,3
486958,Customer Support Issue,Customer service was rude and unhelpful!,0,1
309228,Customer Support Issue,Support team was responsive and helpful.,0,1
389485,Customer Support Issue,Customer service was rude and unhelpful!,0,1
583937,Service Quality,The service was too slow and unprofessional!,0,5
374337,Billing Issue,"Incorrect amount charged, need a refund!",0,0
484886,Billing Issue,"Billing discrepancy, support is not helping!",0,0
410904,Customer Support Issue,Support team was responsive and helpful.,0,1
598342,No Issue,"Great experience, very satisfied!",0,4
303873,Service Quality,I'm disappointed with the overall experience!,0,5
491175,No Issue,"Great experience, very satisfied!",0,4
353214,Service Quality,The service was too slow and unprofessional!,0,5
818454,Late Refund,"Refund process is very slow, not happy!",0,3
604994,No Issue,"Happy with the service, would recommend.",0,4
587913,Service Quality,Quality of service was not up to the mark!,0,5
